ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0373226322,"Sullivan'S Last Stand (The Avengers) (Harlequin Intrigue, No. 632)",Harper Allen,2001,Harlequin
0373098537,"Point Of Departure (Women Of Glory That Special Woman) (Silhouette Special Edition, No 853)",Lindsay McKenna,1993,Silhouette
0380777630,Champion,Fabio,1995,Harper Mass Market Paperbacks (Mm)
0689711409,The Song of the Swallows,Leo Politi,1987,Aladdin
048624590X,Dollhouse Furnishings for the Bedroom and Bath (Dover Needlework),Shep Stadtman,1984,Dover Publications
0451141490,Smart Women Foolish Choices,Connell Cowan,0,Penguin Putnam~mass
0385335466,Sunset in St. Tropez,Danielle Steel,2002,Delacorte Press
0783547528,Birding (Nature Company Guide),Joseph Michael Forshaw,1995,Time-Life Books
0764113798,How to Prepare for the MCAT,"Hugo R., Phd Seibel",2001,Barron's Educational Series
0805045716,Yoga Journal's Yoga Basics: The Essential Beginner's Guide to Yoga for a Lifetime of Health and Fitness,Mara Carrico,1997,Owl Books (NY)
0848716280,Good things: The best of Martha Stewart living,Martha Stewart,1997,Oxmoor House
0375506381,The Anatomy of Hope : How People Prevail in the Face of Illness,JEROME GROOPMAN,2003,Random House
0380752867,And Eternity (Incarnations of Immortality (Paperback)),Piers Anthony,1991,Eos
0942110781,More News from Lake Wobegon (More News from Lake Wobegon),Garrison Keillor,1991,Highbridge Audio
0553712837,Skipping Christmas,John Grisham,2001,Bantam Books-Audio
0446400025,The Gladstone Bag: A Sarah Kelling Mystery (Sarah Kelling and Max Bittersohn Mysteries (Paperback)),Charlotte MacLeod,1991,Warner Books (Mm)
0679408371,Faster: The Acceleration of Just About Everything,James Gleick,1999,Random House Inc
0060195339,Sandy Koufax : A Lefty's Legacy,Jane Leavy,2002,HarperCollins
0425043142,To Your Scattered Bodies Go,Philip Jose Farmer,1978,Penguin Putnam~mass
0192815032,Pride and Prejudice,Jane Austen,1987,Oxford University Press
0425150984,Glory in Death,J. D. Robb,2004,Berkley Publishing Group
0590396056,"Magic Steps (The Circle Opens, Book 1)",Tamora Pierce,2001,Point
0192833553,Pride and Prejudice (Oxford World's Classics),Jane Austen,1998,Oxford University Press
0345360001,The Mummy or Ramses the Damned,Anne Rice,1989,Ballantine Books
0440210690,Indemnity Only (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1991,Dell
0330347772,Come to Grief,Dick Francis,1996,Macmillan Pub Ltd
2070370518,L' Assommoir,Emile Zola,1955,Schoenhof Foreign Books Inc
2253002941,Les Petits Enfants Du Siecle,C. Rochefort,2001,Distribooks Inc
2266002422,L'herbe Bleue: Journal Intime d'une Jeune Droguee (Journal d'une jeune fille de 15 ans),Anonyme,0,Presses Pocket French
2266045938,La riviÃ?Â¨re EspÃ?Â©rance. 1,Christian Signol,1992,Presses Pocket
0312979770,The Seven Dials Mystery (St. Martin's Minotaur Mysteries),Agatha Christie,2001,St. Martin's Paperbacks
1575668033,Tempting,Susan Johnson,2001,BRAVA
0140276432,War Brides,Lois Battle,1998,Penguin Books
0671872338,GOOD ADVICE ON WRITING,William Safire,1993,Fireside
1565843436,The Good War: An Oral History of World War II,Studs Terkel,1997,New Press
0440202531,The Day of the Storm,Rosamunde Pilcher,1995,Dell Publishing Company
0671532650,FOR KICKS,Dick Francis,1984,Pocket
0373709862,"Back In Kansas (Harlequin Superromance, No 986)",Debra Salonen,2001,Harlequin
0590226398,Mummies Don't Coach Softball (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,1996,Scholastic
0500019053,The Most Beautiful Villages of England,James Bentley,1999,Thames &amp; Hudson
0445046619,Murder In the White House,Margaret Truman,0,Warner Books> C/o Little Br
0380001098,Gone With the Wind,Margaret Mitchell,1991,Avon Books
0821776118,Maybe This Christmas,Janet Dailey,2003,Zebra Books
0836267850,Simplify Your Christmas (Elaine St. James Little Books),Elaine St James,1998,Andrews McMeel Publishing
0553213415,Madame Bovary (Bantam Classics),Gustave Flaubert,1982,Bantam
0312971745,"Naughty, Naughty",Susan Johnson,1999,St. Martin's Press
0373115431,Saving Grace (Harlequin Presents No. 11543),Carole Mortimer,1993,Harlequin
0373286171,"Gentle Passion (Historical, No 17)",Cassie Edwards,1989,Harlequin
0380789345,Brighter Than the Sun (An Avon Romantic Treasure),Julia Quinn,2004,Avon
0373292694,"A Moment's Madness (Harlequin Historical, No. 669)",Helen Kirkman,2003,Harlequin
0810917882,Andrew Wyeth: The Helga Pictures,John Wilmerding,1991,Harry N Abrams Inc
067168972X,The Duchess,Jude Deveraux,1992,Pocket
0446602566,With Hope,Dorothy Garlock,1998,Warner Books
006108445X,Chase the Moon,Sharon Sala,1997,HarperTorch
044921737X,Miss Osborne Misbehaves,Marion Devon,1990,Fawcett Books
0449223221,Deck the Halls,Marian Devon,1995,Ivy Books
0505525356,Wild About You,Robin Wells,2003,Love Spell
0373484909,Secret Star,Nora Roberts,2001,Silhouette
1573240141,The Little Book of Big Questions: 200 Ways to Explore Your Spiritual Nature,Jonathan Robinson,1995,Conari Press
0425161749,The Deadliest Game (Tom Clancy's Net Force; Young Adult),Tom Clancy,1999,Berkley Publishing Group
0425126455,Hammerheads,Dale Brown,1995,Berkley Publishing Group
0425142078,Chains of Command,Dale Brown,2001,Berkley Publishing Group
1551667223,Flamingo Diner,Sherryl Woods,2003,Mira
0373244819,"Mad Enough To Marry (Silhouette Special Edition, No. 1481)",Christie Ridgway,2002,Silhouette
0373112572,"Once A Hero (Harlequin Presents, No 1257)",Anne McAllister,1990,Harlequin
0553297996,"Dark Apprentice (Star Wars: The Jedi Academy Trilogy, Vol. 2)",Kevin J. Anderson,1994,Bantam
0874514320,A Reader's Delight,Noel Perrin,1988,University Press of New England
0060513640,One Night of Scandal,Teresa Medeiros,2003,Avon Books
0373764456,"Single Father Seeks...  (Wife, Inc.) (Silhouette Desire, No. 1445)",Amy J. Fetzer,2002,Silhouette
0812532759,Spirits of Flux and Anchor Rider 1,Jack L. Chalker,1984,St Martins Press
0380789353,To Catch an Heiress,Julia Quinn,2002,Avon
0373271875,"Brand - New Heartache (The Oklahoma All-Girl Brands) (Silhouette Intimate Moments, No. 1117)",Maggie Shayne,2001,Silhouette
0312970323,Babyface Killers: Horrifying True Stories of America's Youngest Murderers (St. Martin's True Crime Library),Clifford L. Linedecker,1999,St. Martin's True Crime Classics
0061041742,Within Reach,Barbara Delinsky,1992,HarperTorch
0671545256,MTV's The Real Real World,Hillary Johnson,1995,MTV
1573227978,The Beach,Alex Garland,2000,Riverhead Books
0449149099,Waiting for the Moon,Kristin Hannah,1995,Ballantine Books
0316655880,Honeymoon: A Novel,Amy Jenkins,2001,Back Bay Books
0864113102,Sweet Pies and Puddings (Hawthorn Mini Series),Not Applicable (Na ),1993,Whitecap Books Ltd
0440211484,And One Rode West,Heather Graham,1992,Dell Publishing Company
0312978375,Hong Kong : A Jake Grafton Novel (A Jake Grafton Novel),Stephen Coonts,2001,St. Martin's Paperbacks
0449148378,If You Believe,Kristin Hannah,1994,Ballantine Books
0743422732,High Country Bride (McKettrick Cowboys),Linda Lael Miller,2002,Pocket
0130811270,Archaeological Research: A Brief Introduction,Peter N. Peregrine,2000,Prentice Hall
0380389274,The Crowd Pleasers,Rosemary Rogers,1978,Harpercollins
0451404467,Midnight Star,Catherine Coulter,1996,Topaz
0439129117,"Santa S.O.S (Santa Claus, Inc)",Linda Ford,2000,Scholastic
0446383074,"Lucy, Beginning of Humankind",Donald C. Johanson,1985,Not Avail
0553371835,Acquired Tastes,Peter Mayle,1993,Bantam
0373077165,"Littlest Cowboy (The Texas Brand) (Silhouette Intimate Moments, No 716)",Maggie Shayne,1996,Silhouette
0743442849,Addicted : A Novel,Zane,2001,Atria
0061007226,The Exorcist,William Peter Blatty,2000,HarperTorch
0380753944,Escape from Sobibor,Richard Rashke,1987,Harper Mass Market Paperbacks (Mm)
0399209743,Anno's USA,Mitsumasa Anno,1983,Philomel Books
0140507922,Bear Circus,William Pene Dubois,1987,Penguin USA
0380789930,Beautiful Dreamer,Elizabeth Lowell,2000,William Morrow &amp; Company
0590664778,Rugrats Space Invaders,Sarah Albee,1998,scholastic
0375800409,"Junie B. Jones Has a Peep In Her Pocket (Junie B. Jones 15, paper)",BARBARA PARK,2000,Random House Books for Young Readers
0316610046,Arthur and the Lost Diary,Marc Tolon Brown,1998,Little Brown and Company
0679843655,"Thomas and the School Trip (Step-Into-Reading, Step 2)",W. REV AWDRY,1993,Random House Books for Young Readers
0553139940,Deadwood City (Choose Your Own Adventure #8),Edward Packard,1980,Bantam Doubleday Dell
0553275259,Lost in the Barrens,Farley Mowat,1985,Bantam
0060392460,"The Muffin Lady: Muffins, Cupcakes, and Quick Breads for the Happy Soul",Linda Fisher,1997,ReganBooks
0140188592,Gravity's Rainbow (Penguin Twentieth-Century Classics),Thomas Pynchon,1995,Penguin Books
038531387X,Deliverance,JAMES DICKEY,1994,Delta
0440225906,On Beulah Height (Dalziel and Pascoe Mysteries (Paperback)),Reginald Hill,1999,Dell Publishing Company
1569472122,Murder in the Marais (Aimee Leduc Investigation (Paperback)),Cara Black,2000,Soho Press
0880882239,Notes to Myself: A Guided Journal (Guided Journals),Nick Beillenson,1999,Peter Pauper Press
0373250312,Slim Chance (Red Dress Ink (Paperback)),Jackie Rose,2003,Red Dress Ink
006008460X,Cheaper by the Dozen (Perennial Classics),Frank B. Gilbreth,2002,Perennial
033048205X,The Princess Diaries,Meg Cabot,2001,Macmillan Children's Books
0805055908,The Enchantment of Lily Dahl: A Novel,Siri Hustvedt,1997,Owl Publishing Company
0140440542,Idiot (Penguin Classics),Fyodor Dostoyevsky,1956,Penguin Books
0586071105,Foundation and Earth,Isaac Asimov,1987,Harper Collins - UK
0805043888,The Debt to Pleasure: A Novel,John Lanchester,1996,Henry Holt &amp; Co
0134243676,"How to Say It: Choice Words, Phrases, Sentences, and Paragraphs for Every Situation",Rosalie Maggio,1990,Prentice Hall
0345447913,The Alpine Obituary,Mary Daheim,2002,Fawcett Books
0373833490,Key To My Heart (Harlequin),Kasey Michaels,1998,Harlequin
0821756591,Summer Love,Janelle Taylor,1997,Zebra Books
0060932171,About the Author : A Novel,John Colapinto,2002,Perennial
0140350047,The Secret Garden (Puffin Classics),Frances Hodgson Burnett,1982,Puffin Books
0140304452,Bedknob and Broomstick,Mary Norton,1980,Penguin USA
0099411504,Ghostly Laughter,Barbara Ireson,1986,Random House Children's Books (A Division of Random House Group)
0486288285,The Legend of Sleepy Hollow and Rip Van Winkle (Dover Children's Thrift Classics),Washington Irving,1995,Dover Publications
0440208300,Maggy's Child,Karen Robards,1994,Dell
0440208297,One Summer,Karen Robards,1993,Dell
039914112X,The Rapture of Canaan (Oprah's Book Club (Hardcover)),Sheri Reynolds,1996,Putnam Pub Group
8435005887,"Mano de Hierrode Marte, La",Lindsey Davis,1999,Edhasa
0345435338,Windchill Summer: A Novel (Ballantine Reader's Circle),Norris Church Mailer,2001,Ballantine Books
0670030961,"Mary, Called Magdalene",Margaret George,2002,Viking Books
0312242298,Panic Snap,Laura Reese,2000,St. Martin's Press
0330280627,Nostradamus: Countdown to Apocalypse,Jean-Charles de Fontbrune,1986,Pan Macmillan
0446357847,Edgar Cayce on Reincarnation,Noel Langley,1989,Warner Books
0373201370,"Long Tall Texans Iii  (By Request) (By Request , No 3)",Diana Palmer,1997,Harlequin
0671017047,OBSESSION,John E. Douglas,1998,Pocket
1563896176,"Preacher: All Hell's A-Coming (Dc Comics Vertigo, Book 8)",Garth Ennis,2000,DC Comics
0441644511,The Outlaws of Sherwood,Robin McKinley,1989,Ace Books
0451450965,A Fine and Private Place,Peter Beagle,1994,Roc
0552143243,The Discworld Mapp,Terry Pratchett,1995,Corgi
0312972962,Roman Blood (St. Martin's Minotaur Mysteries),Steven Saylor,2000,St. Martin's Minotaur
044900256X,Bodyguard,SUZANNE BROCKMANN,1999,Fawcett
0553585495,Swordspoint,Ellen Kushner,2003,Spectra Books
0553297600,The Gap into Vision: Forbidden Knowledge (Forbidden Knowledge),Stephen Donaldson,1992,Bantam
0380720876,Rise of a Merchant Prince (Serpentwar Saga),Raymond E. Feist,1996,HarperTorch
0099271087,Pandora (New Tales of the Vampires),Anne Rice,1999,Arrow
0060176113,Fashionably Late: A Novel,Olivia Goldsmith,1994,Harpercollins
0399146644,L.A. Dead,Stuart Woods,2000,G. P. Putnam's Sons
0756400538,"The Fall of Neskaya (The Clingfire Trilogy, Book 1)",Marion Zimmer Bradley,2002,Daw Books
0679427422,A Tidewater Morning: Three Tales from Youth,William Styron,1993,Random House Inc
155936209X,Homebody/Kabul,Tony Kushner,2002,Theatre Communications Group
0099201410,Breathing Lessons,Anne Tyler,0,Trafalgar Square
0002558122,Angelas Ashes,Frank Mccourt,0,Harpercollins Australia
0413724905,Copenhagen (Methuen Drama (Series).),Michael Frayn,1998,Consortium Book Sales &amp; Dist
0486293084,De Profundis (Dover Thrift Editions),Oscar Wilde,1997,Dover Publications
8445070746,"Mundo Sumergido, El",James G. Ballard,1995,Minotauro
9057670860,Barcelona: shop - eat - sleep,Frens Witte,2002,Mo'Media
0060961325,The Celluloid Closet: Homosexuality in the Movies,Vito Russo,1987,Perennial
0345438663,The Conversation Piece 2: A New Generation of Questions,Bret Nicholaus,2000,Ballantine Books
0609608258,"Gale Gand's Just a Bite: 125 Luscious, Little Desserts",Gale Gand,2001,Clarkson N Potter Publishers
0515108952,Garters,Pamela Morsi,1992,Jove Books
0380780747,Splendid,Julia Quinn,1995,Avon
0060281294,The Rose and the Beast: Fairy Tales Retold,Francesca Lia Block,2000,Harpercollins Juvenile Books
014011369X,"And the Band Played on: Politics, People, and the AIDS Epidemic",Randy Shilts,1995,Penguin Books
0307128415,Dear Barbie: The Wonderful Wedding (Golden Look-Look Books),Jean Waricha,1996,Golden Books
0307117340,Make the World Laugh (Who Framed Roger Rabbit),Justine Korman,1988,Golden Books
0345400437,The Shaping of Middle-Earth (The History of Middle-Earth - Volume 4),J. R. R. Tolkien,1995,Del Rey Books
0307203158,Richard Scarry's Christmas Mice (The Little Golden Treasures Series),Richard Scarry,1998,Golden Books
0486423638,The Cat of Bubastes : A Tale of Ancient Egypt (Adventure),G. A. Henty,2002,Dover Publications
0553262432,How to Survive the Loss of a Love: 58 Things to Do when There is Nothing to be Done,Melba Colgrove,1982,Bantam Books
0449243346,Aunt Ermas Cope Book,Erma Bombeck,1982,Ballantine Books
0061056006,Cat on the Edge : A Joe Grey Mystery,Shirley Rousseau Murphy,1996,Avon
067178546X,Blue Gold : A Novel from the NUMA Files,Clive Cussler,2000,Pocket
0060007788,Finding Fish: A Memoir,Antwone Q. Fisher,2001,Perennial
0060196955,"Patience &amp; Fortitude: A Roving Chronicle of Book People, Book Places, and Book Culture",Nicholas A. Basbanes,2001,HarperCollins Publishers
0066212944,Searching for Intruders: A Novel in Stories,Stephen Raleigh Byler,2002,William Morrow &amp; Company
0399146164,Riptide,Catherine Coulter,2000,Putnam Publishing Group
034538699X,The Tangle Box: A Magic Kingdom of Landover Novel,Terry Brooks,1994,Ballantine Books
0515094978,The Cat Who Had 14 Tales,Lilian Jackson Braun,1991,Jove Books
0684195569,She Walks These Hills (Ballad Series),Sharyn Mccrumb,1994,Scribner
0425173895,The Murder of Roger Ackroyd (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2000,Berkley Publishing Group
0140011145,Ship of the Line 7,C S Forester,0,Penguin Putnam~mass
0099366517,Black Dahlia,James Ellroy,0,Haynes Publications
014015275X,The Discovery of Light (Contemporary American Fiction),J.P. Smith,1993,Penguin USA
0671568965,The View From Here,Brian Keith Jackson,1998,Pocket
0060956496,Layover,Lisa Zeidner,2000,Perennial
0141185066,The Grapes of Wrath (Penguin Modern Classics),John Steinbeck,2000,Penguin Books Ltd
006105609X,The Eye of the Heron,Ursula K. Le Guin,1991,HarperPrism
038049163X,A Woman of Substance,Barbara Taylor Bradford,1980,Harper Mass Market Paperbacks
0312959974,Watch Me,A. J. Holt,1996,St. Martin's Press
0449231275,Agent In Place,Helen Macinnes,1981,Ballantine Books
0439010799,The Tiger in the Well,Philip Pullman,1999,Scholastic Ltd
0349114404,Faintheart:  An Englishman Ventures North of the Border,Charles Jennings,2002,Abacus (UK)
0306812274,How to Lose Friends &amp; Alienate People,Toby Young,2003,Da Capo Press
0671806866,CREPE COOKING,Virginia Pasley,1976,Pocket
0747557853,By the Sea,Abdulrazak Gurnah,2002,Bloomsbury Publishing Plc
0380707616,Downtown,Ed McBain,1993,Harper Mass Market Paperbacks
0312974205,Dead Souls (St. Martin's Minotaur Mysteries),Ian Rankin,2000,St. Martin's Press
015601226X,As Meat Loves Salt (Harvest Original),Maria McCann,2003,Harvest Books
0375713123,The Rotters' Club (Vintage Contemporaries (Paperback)),Jonathan Coe,2003,Vintage Books USA
0395877431,Demonic Males : Apes and the Origins of Human Violence,Dale Peterson,1997,Mariner Books
0590465740,Forbidden,Caroline B. Cooney,1993,Scholastic Paperbacks (Mm)
0671700308,"TRAIL OF LIES (NANCY DREW FILES 53) : TRAIL OF LIES (Nancy Drew Files, No. 53)",Carolyn Keene,1990,Simon Pulse
0671703587,"DEATH BY DESIGN (ND #30) (Nancy Drew Files Case, No 30)",Carolyn Keene,1989,Simon Pulse
0451123204,Mastering the Tarot,Eden Gray,1981,Signet Book
0425151379,Irish Chain (Benni Harper Mysteries (Paperback)),Earlene Fowler,1996,Berkley Publishing Group
0486219763,"The Marine Mammals of the North-Western Coast of North America: Described and Illustrated, Together With an Account of the American Whale-Fishery",Charles Melville Scammon,1968,Dover Pubns
0449216225,The Dolphin Doctor,Sam Ridgway,1988,Fawcett Books
0140707077,Othello (New Penguin Shakespeare),William Shakespeare,1981,Penguin Books
0590476769,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Schieszka,1992,Scholastic Inc
0671738674,The CHEATER (FEAR STREET ) : THE CHEATER,R. L. Stine,1993,Simon Pulse
0812505158,The War of the Worlds,H. G. Wells,1993,Tor Books
0521010683,The Skeptical Environmentalist: Measuring the Real State of the World,Bjorn Lomborg,2001,Cambridge University Press
0525447083,Piglet Meets a Heffalump,A A Milne,0,Penguin Putnam~childrens Hc
0140187448,The Log from the Sea of Cortez (Penguin Great Books of the 20th Century),John Steinbeck,1995,Penguin Books
0140072799,The G-String Murders,Gypsy Rose Lee,1984,Penguin USA
0140245162,Nice Girls Finish Last (Viking Mystery Suspense),Sparkle Hayter,1997,Penguin Books
0553446398,"Hidden Treasure (Loveswept, No 879)",Cheryln Biggs,1998,Loveswept
3442415578,Total verhext. Ein Roman von der bizarren Scheibenwelt.,Terry Pratchett,1994,Goldmann
0140430172,Oliver Twist (Penguin Classics),Charles Dickens,1985,Penguin Books
0446352764,Double Whammy,Carl Hiaasen,1989,Warner Books
0140258582,Coffey's Hands (Green Mile S.),Stephen King,1996,Penguin Books Ltd
0312076932,Dancing With the Dead (A Thomas Dunne Book),John Lutz,1992,St Martins Pr
0671035746,Hawke's Cove,Susan Wilson,2001,Pocket
0440221870,The Master Sniper,Stephen Hunter,1996,Dell
0140620435,The Tenant of Wildfell Hall (Penguin Popular Classics),Anne Bronte,1994,Penguin Books Ltd
0434009407,Hannibal,Thomas Harris,0,William Heinemann Ltd(england
0385320159,My Mother/My Self : The Daughter's Search for Identity,NANCY FRIDAY,1997,Delta
0751533068,"Gone, But Not Forgotten / After Dark (Phillip Margolin Omnibus)",Phillip M. Margolin,2002,Time Warner Books UK
0316857432,A big boy did it and ran away,Christopher Brookmyre,2001,"Little, Brown"
0048230871,"The Lord of the rings,",J. R. R Tolkien,1968,Allen and Unwin
044900323X,Day of Atonement (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1998,Fawcett Books
0425175472,Cat Among the Pigeons (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2004,Berkley Publishing Group
044991058X,When Women Stop Hating Their Bodies: Freeing Yourself from Food and Weight Obsession,Jane R. Hirschmann,1997,Ballantine Books
0767913795,Who's Looking Out for You?,BILL O'REILLY,2003,Broadway
0553380966,The Diamond Age (Bantam Spectra Book),Neal Stephenson,2000,Bantam
174059276X,Lonely Planet Belize (Lonely Planet Belize),Carolyn Miller Carlstroem,2002,Lonely Planet Publications
0307965406,A Treasury of Little golden books: 30 best-loved stories,Ellen L. Buell,1982,Golden Press
0451518012,Animal Farm,George Orwell,1956,Signet Book
0375705619,"French Lessons: Adventures with Knife, Fork, and Corkscrew",Peter Mayle,2002,Vintage Books USA
0451180216,Interest of Justice,Nancy Taylor Rosenberg,1994,Signet Book
0452264715,Kaffir Boy: The True Story of a Black Youth's Coming of Age in Apartheid South Africa,Mark Mathabane,1995,Plume Books
0060922249,Care of the Soul : A Guide for Cultivating Depth and Sacredness in Everyday Life,Thomas Moore,1994,Perennial
0521293669,"Hamlet, Prince of Denmark (The New Cambridge Shakespeare)",William Shakespeare,1985,Cambridge University Press
0830713867,Measure of a Woman,Gene A. Getz,1984,Regal Books
0130084662,Linux Administration Handbook,Evi Nemeth,2002,Prentice Hall PTR
0061054909,Love in Vein,Poppy Z. Brite,1995,Eos
3423300426,KÃ?Â¶nigin der Troubadoure. Eleonore von Aquitanien. ( Biographie).,Regine Pernoud,1979,Dtv
3791530143,PÃ?Â¼nktchen und Anton. Ein Roman fÃ?Â¼r Kinder. ( Ab 10 J.).,Erich KÃ?Â¤stner,1999,Dressler Verlag
3257201184,Farm der Tiere: Ein MÃ?Â¤rchen.,George Orwell,2002,Diogenes Verlag
3785540159,Die FlieÃ?Â?ende KÃ?Â¶nigin 01. ( Ab 12 J.).,Kai Meyer,2001,Loewe Verlag
067172147X,Path of the Fury,David Weber,1992,Baen
3453171381,Ich kÃ?Â¼sse dich von Kopf bis FuÃ?Â?... Liebesbriefe berÃ?Â¼hmter Frauen und MÃ?Â¤nner.,Werner Fuld,2000,Heyne
0446363812,Gift of Gold,Jayne Ann Krentz,1993,Warner Books
1551665522,Stolen Heart (Mira),Candace Camp,2000,Mira
0060002069,The Lady Chosen,Stephanie Laurens,2003,Avon Books
0380820064,And Then He Kissed Me (Avon Romance),Patti Berg,2003,Avon
3442416256,Fliegende Fetzen. Ein Roman von der bizarren Scheibenwelt.,Terry Pratchett,1999,Goldmann
0590847724,"Welcome to the Wicked Wax Museum (Give Yourself Goosebumps, No 12)",R. L. Stine,1996,Scholastic
0140278826,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books Ltd
0440207665,Eva,PETER DICKINSON,1990,Laurel Leaf
0440228506,Time Enough for Drums,Ann Rinaldi,2000,Laurel-Leaf Books
0060938099,Enemy Women : A Novel,Paulette Jiles,2003,Perennial
0821761544,Miss Hamilton's Hero (A Zebra Regency Romance),Nancy Lawrence,1999,Zebra Books
0373790635,"Guilty Pleasures (Harlequin Blaze, No 59)",Cathy Yardley,2002,Harlequin
0373078072,"Roarke'S Wife  (The Protectors) (Harlequin Intimate Moments, No 807)",Wayne Barton,1997,Silhouette
1565124057,The Last Girls,Lee Smith,2003,Algonquin Books of Chapel Hill
2226061185,Le jour des fourmis: Roman,Bernard Werber,1992,A. Michel
0373056249,"Outlaw (Silhouette Desire, No 624)",Elizabeth Lowell,1991,Silhouette
0373790368,"NO STRINGS ATTACHED - WWW.GIRL-GEAR (Blaze, 32)",Alison Kent,2002,Harlequin
0373027680,"Matchmakers (Harlequin Romance, 2768)",Debbie MacOmber,1986,Harlequin
0804109745,Amelia,Diana Palmer,1993,Ivy Books
0553568019,"Rogue Squadron (Star Wars: X-Wing Series, Book 1)",Michael A. Stackpole,1998,Bantam
0060830484,Point Counter Point,Aldous Huxley,1928,Harpercollins
0553578820,Tales from the New Republic (Star Wars (Random House Paperback)),PETER SCHWEIGHOFER,1999,Spectra
0806999772,Zen Wisdom: Daily Teachings from the Zen Masters,Timothy Freke,1997,Sterling Publishing
0773755160,Basic Black: The Wit and Whimsy of Arthur Black,Arthur Black,1998,Stoddart
0380794489,Lady Be Good (Avon Romance),Susan Elizabeth Phillips,2004,Avon
0552143014,Enough to Make a Cat Laugh,Deric Longden,1997,Transworld Publishers Limited
0060652810,Glimpses of Grace: Daily Thoughts and Reflections,Madeleine L'Engle,1998,HarperSanFrancisco
0446524174,The Invisible Touch : The Four Keys to Modern Marketing,Harry Beckwith,2000,Warner Books
0515122564,The Echo,Minette Walters,1998,Jove Books
0394724828,1985: A Historical Report (Hong Kong 2036 from the Hungarian),Gyorgy Dalos,1984,Random House Inc
0312421818,The Book of Illusions: A Novel,Paul Auster,2003,Picador USA
0671739743,The Velvet Promise,Jude Deveraux,1991,Pocket
0515136190,Once upon a Midnight,Nora Roberts,2003,Jove Books
0441008313,Behind Time,Lynn Abbey,2001,Ace Books
0451210441,Regency Christmas Wishes: 5 New Holiday Tales (Signet Regency Romance),Sandra Heath,2003,Signet Book
0373441746,A Baby...Maybe -- How To Hunt a Husband,Bonnie Tucker,2003,Harlequin
0380015390,Satanic Bible,Anton Szandor Lavey,1976,Avon
0060609575,"That's Funny, You Don't Look Buddhist: On Being a Faithful Jew and a Passionate Buddhist",Sylvia Boorstein,1996,Harpercollins
0595223141,Heroes from the Attic,Herman I. Neuman,2002,Writers Club Press
3423203374,Mein geheimes Leben.,Paul Theroux,2000,Dtv
002040400X,Unexplained Sniglets of the Universe,Rich Hall,1986,Simon &amp; Schuster
3499222787,Der Spaziergang von Rostock nach Syrakus.,Friedrich Christian Delius,1998,Rowohlt Tb.
1579546463,"The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss",Arthur Agatston,2003,Rodale Books
0061056898,Fortress in the Eye of Time,C. J. Cherryh,1996,Eos
0385510012,The Swallows of Kabul : A Novel,YASMINA KHADRA,2004,Nan A. Talese
0553293419,The Currents of Space (The Empire Novels),Isaac Asimov,1994,Bantam Books
0515116246,The Nightingale Legacy,Catherine Coulter,1995,Jove Books
0671319744,By Any Other Name,Spider Robinson,2001,Baen
0385491182,The Vietnam Reader: The Definitive Collection of American Fiction and Nonfiction on the War,Stewart O'Nan,1998,Anchor Books/Doubleday
0684717972,Farewell to Arms,Ernest Hemingway,1929,Charles Scribner's Sons
0140390790,Wieland and Memoirs of Carwin the Biloquist (Penguin Classics),Charles Brockden Brown,1991,Penguin Books
0070030952,Getting Started in Powerboating,Bob  Armstrong,1995,International Marine/Ragged Mountain Press
0312182953,253: The Print Remix,Geoff Ryman,1998,St. Martin's Press
0071356347,"Stapleton's Powerboat Bible: The Complete Guide to Selection, Seamanship, and Cruising",Sid Stapleton,2001,International Marine/Ragged Mountain Press
0931432146,Living in the Light: A Guide to Personal and Planetary Transformation,Shakti Gawain,1985,New World Library
0062513958,Everyday Tao: Living with Balance and Harmony,Ming-Dao Deng,1996,HarperSanFrancisco
0060534214,Mr. Timothy,Louis Bayard,2003,HarperCollins
0060677007,Our Religions : The Seven World Religions Introduced by Preeminent Scholars from Each Tradition,Arvind Sharma,1994,HarperSanFrancisco
0800619315,Rise of Christianity,W.H.C. Frend,1986,Augsburg Fortress Publishers
0385505914,Train: A Novel,PETE DEXTER,2003,Doubleday
0679460624,Even the Stars Look Lonesome,Maya Angelou,1997,Random House Audio
0877739811,Entering the Stream,SAMUEL BERCHOLZ,1993,Shambhala
0767910036,"Learning to Float : The Journey of a Woman, a Dog, and Just Enough Men",LILI WRIGHT,2002,Broadway
0679751114,Hotel Pastis : A Novel of Provence,PETER MAYLE,1994,Vintage
0060916087,Tao Te Ching: A New English Version,Stephen Mitchell,1991,Perennial
0800717880,"His Needs, Her Needs: Building an Affair-Proof Marriage",Willard F. Harley Jr.,2001,Revell
0684852683,Dreams Of My Russian Summers: A Novel,Andrei Makine,1998,Touchstone Books
0140256792,House of Glass (Buru Quartet),Pramoedya Ananta Toer,1997,Penguin Books
